,Node 11,Link 10,Link 11,Link 12,Link 21,Link 22,Link 31,Link 110,Link 111,Link 112,Link 113,Link 121,Link 122
Node 11,1.0,0.94,1.0,0.96,-0.43,0.51,0.95,0.02,0.96,0.97,0.96,0.98,0.97
Link 10,0.94,1.0,0.94,0.93,-0.16,0.66,0.91,-0.25,0.99,0.92,0.9,0.96,0.92
Link 11,1.0,0.94,1.0,0.96,-0.43,0.51,0.95,0.02,0.96,0.97,0.96,0.98,0.97
Link 12,0.96,0.93,0.96,1.0,-0.4,0.61,0.9,0.1,0.96,0.99,0.98,0.97,0.96
Link 21,-0.43,-0.16,-0.43,-0.4,1.0,0.31,-0.4,-0.71,-0.23,-0.44,-0.46,-0.4,-0.46
Link 22,0.51,0.66,0.51,0.61,0.31,1.0,0.43,-0.27,0.66,0.58,0.55,0.53,0.5
Link 31,0.95,0.91,0.95,0.9,-0.4,0.43,1.0,-0.07,0.92,0.9,0.89,0.95,0.93
Link 110,0.02,-0.25,0.02,0.1,-0.71,-0.27,-0.07,1.0,-0.16,0.14,0.16,-0.01,0.08
Link 111,0.96,0.99,0.96,0.96,-0.23,0.66,0.92,-0.16,1.0,0.95,0.94,0.97,0.94
Link 112,0.97,0.92,0.97,0.99,-0.44,0.58,0.9,0.14,0.95,1.0,0.99,0.97,0.97
Link 113,0.96,0.9,0.96,0.98,-0.46,0.55,0.89,0.16,0.94,0.99,1.0,0.96,0.96
Link 121,0.98,0.96,0.98,0.97,-0.4,0.53,0.95,-0.01,0.97,0.97,0.96,1.0,0.98
Link 122,0.97,0.92,0.97,0.96,-0.46,0.5,0.93,0.08,0.94,0.97,0.96,0.98,1.0
